Name,Rank,CompanyNumber,Age
Jack Kirk,37,10,31
Anita Thompson,22,7,44
Nicole Reese,34,5,46
Joseph Smith,22,6,19
Terri Cohen,27,3,34
Eric Hunter,23,7,44
Tammie Ortiz,10,5,44
James Wilson,36,3,61
Amanda Smith,39,1,49
Lori Hebert,27,9,43
Whitney Collins,17,4,44
Marissa Blackwell,31,6,43
Tyler Strong,17,1,39
Daniel Michael,38,10,54
Karen Washington,29,4,27
Lori Richmond,6,7,35
Alexis White,39,10,59
Brandy Hernandez,7,8,22
Roy Castillo,34,6,22
Timothy Hess,25,3,65
Hannah Hall,12,9,28
Richard Fleming,21,7,23
Kevin Dixon,22,2,63
Marie Green,40,4,64
Donald Castro,16,6,40
Michael Douglas,22,2,65
Bill Williams,21,8,26
Michael Lopez,27,2,56
Sydney Parsons,17,5,19
Benjamin Young,11,1,54
Claire Brown,24,5,20
Chad Hanna,19,7,56
Evelyn Potter,17,2,45
Danielle Porter,27,8,20
Christina Johnson,2,4,44
Matthew Arnold,38,10,38
Marcus Fernandez,26,9,19
Laura Medina,28,9,48
Diane Fuentes,5,10,58
Laura Meyer,33,5,45
Mary Stewart,36,4,65
Daniel Hoover,19,8,59
Lisa Walker,19,3,58
Robert Wright,8,7,32
Yolanda Ellis,21,4,50
Barbara Fletcher,30,4,58
Clayton Thomas,36,3,65
Timothy Ali,15,2,24
Kim Berg,4,4,57
Clifford Adams,24,4,53
Lindsey Hampton,30,1,55
David Bailey,32,3,39
William Hale,21,1,51
Maria Pope,1,10,35
Robert Bowen,14,10,21
Cassie Martin,19,6,28
Eric Davis,22,3,42
Sandra Wilson,3,4,24
Wendy Lewis,30,9,57
Amy Hoffman,4,8,22
Bradley Gallagher,37,3,32
Gregory Chandler,7,4,65
Michael Delacruz,36,5,23
Michael Mccarthy,25,8,29
Richard Smith,30,4,35
Jenna Todd,11,7,51
Kayla Ramirez,4,9,24
Colton Logan,17,8,33
Matthew Anderson,30,7,41
Jeremiah Vasquez,16,4,43
Janet Nolan,4,6,39
Cody Williams,14,10,62
Erin Nicholson,5,8,28
Marcus House,24,2,65
Allison Santiago,2,5,20
Guy Williams,27,8,34
Cristian Humphrey,21,9,57
Desiree Walsh,5,9,40
Mallory Martin,18,2,36
Christopher Edwards,30,3,27
Stephanie Villegas,27,5,31
Lindsey Reed,38,2,25
Kristen Long,15,3,32
Joshua Caldwell,33,6,50
Luke Newman,40,10,63
Nicole King,35,5,22
Anthony Jones,35,5,38
Jennifer Valdez,29,5,35
Brandon Ross,37,1,50
Christopher Brown,32,1,22
Haley Bishop,16,6,25
Amanda Gomez,4,9,19
Rick Valenzuela,27,7,36
Laurie Robinson,24,5,39
Alexandra Porter,21,8,62
James Yang,11,7,61
Larry Miller,20,4,29
Vanessa Davis,7,9,58
Patrick Kennedy,31,1,30
Samantha Escobar,15,1,58
Christopher Baker,5,10,55
Jacqueline Pruitt,26,7,27
Sandra Galvan,37,5,42
Michelle Webster,32,9,31
Mary Carter,5,3,29
Katherine Jackson,12,1,45
Julie Butler,21,3,46
Lori Adams,10,7,41
Jerry Powell,3,9,23
Vanessa Williams,10,6,26
Jeffery Chandler,25,3,30
Christopher Kelly,9,3,28
Kelly Russell,10,9,46
Melissa Mcclain,12,7,35
Lindsey Cruz,32,5,30
Travis Green,3,1,23
Heidi Tran,12,10,22
Jonathan Walker,14,8,59
Claire Burns,35,1,49
Cody Waters,3,9,62
Richard Reynolds,35,4,29
Nicholas Miller,3,4,64
Jacqueline Padilla,19,6,63
Bobby Smith,13,4,52
Joshua Fleming,19,5,60
Monique Williams,12,2,40
Brent Wells,32,6,41
Ricardo Cervantes,5,4,61
Jeff Robinson,29,9,40
Francis Mccann,17,6,26
Megan Stewart,9,2,65
Jeffrey Patrick,37,8,37
Julie Golden,27,7,57
Austin Sullivan,2,1,21
Thomas Jones,10,2,40
Emily Weaver,16,4,59
Alexander Wilson,32,6,59
Daniel Smith,2,2,27
Crystal Norris,33,9,20
Robin Scott,19,4,30
Rita Taylor,19,10,63
Jacqueline Williams,31,4,27
Sean Kelley,32,7,62
David Sims,25,3,28
Justin Baker,15,3,55
Andrew Watts,14,2,38
Jamie Guerrero,15,7,32
Nicole Flynn,15,1,49
Philip Gomez,6,7,36
Kaitlyn Sparks,29,9,48
Ryan Greer,11,6,27
Crystal Baldwin,28,10,56
Eric Dodson,7,4,54
Rebecca Sanchez,24,8,39
John Hayes,38,2,63
Tammy Whitaker,4,5,47
Sean Olson,9,7,40
Brandon Yu,24,4,61
Rachel Lee,35,8,22
Donald Martinez,12,4,42
Miguel Shah,7,10,49
Catherine Wagner,3,3,37
Mark Perez,31,8,44
Timothy Schneider,40,6,54
Samuel Logan,4,1,26
Christopher Ramos,29,4,35
Sandra Carter,19,8,44
Christopher Hughes,30,9,18
Anthony Hernandez,36,8,52
Brianna Chambers,36,10,41
Christina Patton,28,9,39
Angela Rivera,7,9,55
Jonathan Morgan,30,9,65
Hunter Ware,34,9,24
Eric Smith,37,3,28
Stephanie Ray,30,2,22
Christopher David,7,5,51
Amanda Howard,13,10,37
Erica Dunn,20,1,55
Rodney Harris,36,9,29
Donald Hurley,39,6,45
Robert Williams,35,4,48
Danielle Morgan,15,6,27
Amanda Weber,3,7,29
Lori Kramer,21,6,19
Tanya Sanchez,27,5,51
Lisa Jackson,25,3,52
Tammy Beck,33,7,22
Nicole Moss,22,3,42
Lisa Mora,27,8,41
Anne Hopkins,40,9,41
Jessica Harris,20,4,31
Julie Ortiz,32,6,49
Frank Collins,38,8,38
Katie Powell,21,6,54
Jesse Johnson,28,2,23
Crystal Baldwin,6,4,34
Beth Grant,23,7,61
Leslie Bernard,31,7,24
Amy Bennett,1,10,20
Michael Gray,28,8,45
Sarah Ramos,4,4,37
Brenda Thompson,3,3,44
Cheryl Johnson,18,8,55
Kristine Vaughan,10,8,60
Cindy Trevino,21,2,53
Shannon Nguyen,10,5,40
Aaron Acosta,38,4,62
Edward Dodson,21,5,38
Ronald Miller,40,6,25
Kenneth Gray,2,1,39
Jeanette Smith,15,5,42
Harold Ho,14,2,54
Cheryl Williams,35,7,58
Andrew Anderson,26,7,64
Michael Lambert,24,3,38
Mario Clark,16,2,33
Crystal Kirk,30,10,41
Wesley Rodriguez,4,8,55
Justin Thomas,28,6,60
Jamie Foster,30,9,44
Thomas Parker,8,6,20
Claudia Thomas,15,6,28
Douglas Callahan,7,6,20
Nathan Larson,27,3,46
Kyle Moreno,16,5,23
Allen Johnson,39,6,24
Melissa Sims,31,1,52
George Gutierrez,5,3,35
Janet Ruiz,23,6,47
Mark Huff,38,6,61
Marcia Garner,29,3,50
Adam Williams,21,8,55
Ryan Chambers,10,5,25
April Ellis,24,6,55
Kimberly Moore,20,6,62
Susan Montoya,29,5,30
Kristen Kim,4,2,59
Edward Anthony,7,4,24
Shawn Spencer,17,10,24
Shaun Gray,34,2,63
David Baldwin,10,2,24
Jacqueline Gonzalez,11,7,60
Jeffrey Mcintyre,19,10,56
Joe Rogers,23,7,65
Russell Ray,25,2,18
Ashley Savage,5,9,49
Dylan Mercado,14,10,36
Robin Khan,34,9,32
Nicholas Meyers,15,10,52
Jeanne Santiago,27,1,55
Matthew Huerta,26,5,62
Shelby Steele,17,9,38
Megan Cook,11,5,38
Alyssa Oliver,38,10,49
Corey Nelson,34,2,35
Judy Jones,16,5,65
Emily Gordon,21,9,20
Benjamin Eaton,29,4,27
Brittany Malone,8,10,25
Austin Cox,18,7,47
Keith Combs,20,6,33
Jordan Young,27,7,54
Lindsay Hill,4,3,39
Tanya Singleton,5,9,50
Brittany Phillips,14,4,55
Shelley Larson,29,8,51
Jay Morris,15,7,36
Evan Oneill,25,6,64
David Garcia,18,6,19
Christopher Bass,14,10,31
Cindy Kirby,13,2,30
Bryan Neal,21,2,45
Donald Watkins,6,1,57
Jeffrey Herman,29,6,42
Stacey Stephens,17,9,48
Jeremiah Gregory,19,10,44
Michelle Day,40,3,27
Bridget Richard,39,8,30
Eugene Martinez,8,5,36
Shannon Harvey,14,3,30
Steven Cook,31,8,39
Michelle Miller,25,6,22
Jason Brady,16,6,56
Isaiah Hernandez,27,5,38
John Hall,33,1,37
Megan Houston,36,9,40
Pamela Clements,21,5,50
Travis Mitchell,32,4,24
James Evans,24,6,42
Amanda Peters,28,9,28
Noah Smith,30,7,32
John Serrano,14,9,26
Lindsey Sanchez,29,9,57
Joseph Rojas,32,2,21
Jeffrey Rowland,1,8,55
Melissa Stewart,5,7,29
Adam Phelps,29,10,50
Victor Marshall,32,10,28
Carol Spencer,24,5,41
Stephanie Franco,10,3,62
Steven Clark,18,4,28
Allen Morrison,9,10,60
Emily Sweeney,7,9,40
Debra Martinez,19,4,22
Patricia Lynch,7,9,25
Andrea Ramirez,26,4,18
Karen Jones,7,8,56
John Griffin,9,8,52
Sara Barnes,19,2,37
Michael Diaz,4,6,61
Robert Barnes,40,6,21
Joseph Brock,29,9,57
Karen Jacobs,8,10,27
Sophia Sanders,12,5,44
Lisa Smith,32,3,31
Theresa Palmer,8,9,29
Mark Prince,15,9,21
Jared Greer,3,5,34
Joshua Meadows,16,1,18
Eugene Williams,16,10,57
Mario Bowers,28,9,35
Jeffrey Harris,25,10,31
Sean Young,19,2,48
Sandra Gomez,40,9,27
Jonathan Castaneda,2,7,43
John Jones,21,5,42
Debbie Cisneros,29,7,32
Kurt Simpson,1,8,27
Timothy Taylor,19,9,59
Scott Johnson,4,1,19
Jay Perkins,6,1,36
Linda Spence,7,3,39
Mark Elliott,1,3,19
Jill Taylor,35,2,57
Angela Kelley,37,1,35
Maria Aguilar,24,2,22
Lisa Kramer,39,4,28
Tina Bishop,5,4,58
Emily Wall,26,10,65
Pamela Richardson,18,10,44
Richard Dyer,28,4,27
Miguel Huang,39,5,44
Ashley Joyce,20,7,63
Alexis Woods,38,5,48
Tammy Martin,17,3,41
Cassandra Peterson,14,6,41
Beth Burke,36,2,26
Steve Mills,23,10,22
Jonathan Larson,11,4,22
Vincent Herrera,11,9,53
Sean Price,24,4,45
Kristina Lee,17,2,24
David Ward,10,5,28
Kathryn Moore,17,2,57
Sean Myers,6,8,32
Jamie Miller,25,3,37
Daniel Jones,29,5,26
Stanley Jones,22,4,46
Natalie Gutierrez,18,5,52
Jeffrey Webster,37,9,42
Dana Watson,11,10,57
Patrick Russell,31,4,30
Robin Gordon,31,2,55
Tyler Hill,1,8,37
Christopher Golden,12,4,32
Dustin Chapman,29,1,45
Jimmy Williams,17,6,58
Stephanie Davis,29,1,65
Stephen Gregory,22,5,63
Kimberly Perez,8,7,55
Troy Anderson,39,5,21
Brandon Wilson,25,1,64
Nicole Davila,34,5,37
Jonathan Munoz,17,8,38
William Hughes,1,9,33
Thomas May,25,10,35
Ashley Fitzgerald,35,6,29
Emily Carroll,39,2,54
Chad Garcia,11,5,58
Mark Villarreal,5,3,43
Laura Evans,21,5,32
Scott Fitzpatrick,4,5,53
Brian Thornton,28,6,33
Noah Ibarra,29,1,40
Bailey Smith,19,10,47
Jessica Dawson,18,4,30
Jonathan Gilbert,16,9,59
Eric Hayes,12,1,21
Keith Medina,15,3,30
Christina Graham,15,9,27
Derek Morrison,13,10,23
Corey Buck,7,7,63
Bradley Diaz,18,2,57
Brent Franklin,1,4,63
Mathew Thomas,2,5,47
Melissa Smith,29,2,50
Dennis Harrison,7,5,44
Stanley Reynolds,35,9,41
Dawn Boyer,28,4,33
David Baldwin,30,10,46
Kurt Bell,31,8,53
Susan Case,18,7,58
Julie Elliott,3,9,58
David Rasmussen,17,10,41
Gary Becker,36,10,48
Justin Bray,19,1,28
Fred Wilson,30,6,35
Vanessa Park,34,9,22
Deborah Foster,13,8,30
Ian Thompson,40,1,48
Jason Turner,18,6,45
Linda Harrison,36,7,48
Melissa Boyer,30,8,59
Marcus Chambers,23,2,23
Chad Trevino,21,2,46
David Miller,25,1,47
Megan Moore,37,10,44
Amy Figueroa,6,6,44
Heather Barton,5,6,58
Christopher Smith,10,5,43
Kim Meyer,20,7,44
Jimmy Williams,3,1,58
Melissa Ingram,23,3,29
Kelly Thompson,24,1,58
George Huber,1,2,19
John Graves,15,8,18
Patricia Garcia,26,10,55
Manuel Vincent,40,2,58
Susan Stevens,13,10,45
Paul Shaw,31,5,50
Stephanie James,19,10,46
Brittany Flores,5,7,28
Ian Bowman,9,3,48
Robert Graves,20,6,19
Paul Morgan,36,2,24
Anna Parker,11,5,38
April Jones,24,1,31
Wendy Howard,28,3,22
Diamond Williams,30,1,59
Maria Abbott,39,6,60
Gary Sims,28,4,58
Erica Summers,32,4,62
Lindsay Hale,32,4,40
April Brown,25,5,37
Diane Stuart,1,10,25
Megan Evans,23,4,53
Jill Hayes,19,6,52
David Maldonado,13,2,46
Tina Hudson,19,6,24
Benjamin Howard,15,8,41
Julie Nunez,36,6,37
Melissa Baldwin,33,7,47
Michael Campbell,38,5,37
Monica Reese,37,9,24
Tracy Baxter,6,2,24
Carol Scott,12,4,46
Matthew Walters,6,5,38
Gabriel Landry,24,6,54
Bobby Sherman,4,3,64
Susan Coffey,6,8,20
Alexander Wilson,4,6,41
Kathleen Higgins,27,4,62
Amanda Gutierrez,14,7,59
Rebecca Hunter,8,5,63
Ariel Wood,19,7,51
Stephen Smith,5,7,54
Michael Stewart,31,3,42
Beth Pena,37,8,64
Michael Diaz,17,4,23
Gilbert Saunders,13,10,38
Larry Daniels,25,7,26
George Strong,2,5,30
Carrie Reed,34,3,47
Brianna Anderson,40,4,44
Todd Burke,38,6,24
Daniel Baldwin,2,5,22
Linda Dodson,9,7,24
Chad Hodges,21,8,25
Chloe Wolfe,3,6,34
Kristina Campos,26,3,36
Barbara Hobbs,9,8,30
Christian Sanchez,8,2,65
Yolanda Murphy,37,8,57
Nicole Brewer,36,10,58
Lisa Cox,26,5,62
Richard Singh,26,8,47
Denise Martin,7,1,29
Joanna Lara,7,5,19
Zachary Frank,39,7,60
Renee Neal,30,7,18
Stephanie Rivera,37,3,43
Sean Sellers,16,5,24
Jose Wilcox,16,9,39
Jack Carlson,10,2,29
James Lewis,17,5,58
Kimberly Shelton,21,3,31
Leah Randolph,28,5,63
Gary Khan,2,8,37
Amanda Trevino,36,7,26
Colleen Myers,26,10,62
Malik Jones,37,8,57
Clinton Watkins,31,4,62
Robert Rojas,10,1,28
Vanessa White,22,4,57
Andre Osborne,28,10,51
Jennifer Gonzales,33,1,20
Charles Davis,16,4,48
Dustin Jones,21,2,61
Michael Alvarez,30,2,45
John Becker,40,5,23
Marissa Barber,1,3,41
Sean Prince,38,6,27
Donald Jackson,26,5,47
Brandon Cook,27,9,63
Luke Boyd,6,6,45
Brian Castro,20,3,19
Benjamin Knight,25,7,34
Jeremy Lambert,32,1,55
Tammy Walker,29,9,19
Robert Jackson,28,2,48
Brooke Casey,3,10,20
Susan Sullivan,37,3,36
Crystal Flores,36,8,20
Ivan Gibson,40,3,65
Nicholas Mitchell,7,2,43
Samantha Stone,30,8,43
Cheryl Smith,12,5,46
Stephen Young,23,8,40
Rodney Cobb,7,5,65
Jamie Harris,33,9,29
Robert Smith,19,10,29
Nicholas Hawkins,23,8,39
Kiara Parker,29,9,45
Chad Lee,27,10,48
Lee Miller,25,9,55
Jennifer Jones,24,4,57
James Phillips,20,9,63
Joshua Zimmerman,28,2,36
Travis Hall,39,1,29
Claudia Hill,12,9,46
Jose Reyes,38,6,59
Jonathan Osborn,31,2,19
Sergio Wallace,1,9,34
Michelle Ramos,11,6,51
Catherine Murphy,37,10,52
Kylie Sanchez,24,7,46
Whitney Smith,21,3,27
Ashley Anderson,33,2,24
Leslie James,8,7,63
Jennifer Martinez,14,7,43
Timothy Wu,2,2,51
Carol Tran,32,4,56
Briana Madden,26,8,62
Anthony Young,39,7,53
Christopher Wilson,29,4,34
Robert Joseph,25,5,29
David Jacobs,36,3,18
Veronica Buchanan,30,3,52
Dominique Collins,25,9,54
John Navarro,6,4,62
Jeffrey Garcia,6,3,41
Barbara Holmes,32,7,32
William Hood,9,3,39
Brent Perry,20,2,37
Sandra Miller,13,5,34
Heather White,2,5,38
Kimberly Walsh,35,4,60
Steven Colon,38,5,41
Elizabeth Mitchell,13,2,64
Ashley Williamson,9,5,42
Bonnie Patton,16,5,43
Jenna Kidd,14,6,36
Luke Ross,1,3,59
Chase Mccullough,2,10,38
Charles Lindsey,4,2,38
Jeffery Pugh,12,7,61
Ashley Williams,3,4,29
Danny Martinez,14,8,60
Eric Ramirez,23,9,29
Jill Horn,21,3,27
Michael Nelson,4,10,64
Kimberly Hicks,15,8,40
Don Schmidt,19,8,57
Mary Washington,9,10,23
Ethan Thompson,24,5,48
Kristen Smith,17,8,47
Brian Johnson,1,7,21
Zachary Taylor,10,4,23
Alec Myers,11,9,62
Krista Briggs,33,3,34
Donald Neal,34,1,47
David Cisneros,24,9,37
Anna Hunter,21,6,63
Ariana Dunn,25,10,25
Jonathan Kelly,6,8,60
Steven Williams,8,2,47
Michael Jones,8,3,44
Timothy Christian,14,5,51
David Morgan,20,1,59
Denise Mendoza,28,10,25
Dennis Harris,19,3,23
Jeanette Murray,26,4,47
Michael Warren,34,8,65
Ian Riggs,8,2,44
Laurie Booth,19,5,58
Thomas Guerra,26,3,65
David Hammond,2,4,40
Edward Davis,16,7,43
Brittany Williams,28,4,24
Summer Castillo,23,6,57
Amy Collins,27,9,43
Lisa Cook,4,1,22
Diana Thomas,19,7,55
Pamela Odonnell,8,5,59
Eric Montgomery,6,2,47
Jason Gilbert,11,8,36
Jorge Jones,5,7,43
Thomas Rivera,1,3,41
Maria Smith,4,7,45
Sheryl Morris,26,4,29
James White,39,10,45
Tony Oconnor,22,2,26
John Fuller,13,2,60
Jennifer Rodriguez,20,7,49
Joshua Smith,33,7,51
Anthony Christensen,6,7,44
Jesse Perry,13,2,29
Emily Kim,39,10,20
Nathan Pineda,1,10,46
Thomas Barnes,22,7,38
Paul Brown,39,7,58
Jasmine Keller,27,2,24
Mark Gonzales,1,4,24
Eric Neal,28,10,28
Sandra Williams,21,8,55
Amy Herring,34,9,32
Todd Hawkins,22,2,57
Dawn Green,28,10,31
Angela Wallace,23,1,41
Victoria Lopez,15,3,21
Deanna Best,10,4,22
Carly Alexander,30,5,35
Jamie Jennings,27,9,53
Daniel Becker,30,2,63
Brandon Johnson,17,3,27
Misty Freeman,26,9,59
Brian Ayers,8,10,27
Dawn Ibarra,28,4,41
Christopher Livingston,19,5,24
Victoria Fowler,11,2,30
Bryce Price,28,6,23
Vanessa Parker,23,7,65
Juan Shaw,2,7,42
Brian Phelps,15,4,62
Austin Walker,2,8,49
Brandy Moore,1,6,58
Kimberly Mays,1,8,28
Michael Cook,38,6,42
Gina Benton,40,3,20
Elizabeth Anderson,11,6,60
Teresa Franco,21,8,29
Haley Meyers,32,10,36
Kyle Phillips,2,7,53
Jill Hancock,34,1,29
Alexis Cherry,39,10,60
Stephen Thompson,38,1,56
Evan Lee,12,5,29
Eric Turner,11,1,53
Brian Lee,18,2,37
James Herrera,37,8,35
Ronald Perez,18,7,21
Barbara Clark,31,5,35
Laura White,32,8,25
Samuel Stevenson,19,5,38
Cathy Williams,9,8,21
Isabel Chase,27,10,37
Regina Morton,8,7,21
Darryl Hardin,16,2,52
Robert Scott,22,1,33
Manuel Gonzalez,34,4,30
Erika Martin,35,2,39
Margaret Guzman,9,6,38
Justin Black,10,2,50
Andrew Moss,13,6,64
Mark Sullivan,36,2,31
James Smith,7,8,27
Michael Pearson,16,8,27
Jessica Conner,15,7,44
Carol Mcclure,2,1,58
Michelle Gonzalez,4,10,50
Kenneth Monroe,13,6,39
Thomas Snyder,35,4,49
Joseph Nguyen,28,6,30
Megan Hall,1,10,36
James Moses,32,10,31
Karla Powers,15,5,55
Timothy Thomas,11,2,22
Jonathan Payne,38,10,39
Cheryl Burke,7,10,57
Mallory Henderson,26,9,55
Kendra Gonzales,22,5,48
Barbara Smith,1,9,51
Jennifer Jones,7,4,29
Barbara Campbell,7,6,48
Cody Gilbert,7,9,58
Jeremy Adkins,27,3,18
Christopher Russell,14,1,62
Kathleen Ruiz,6,9,36
Austin Rodriguez,10,10,25
Christopher Edwards,21,1,51
Andrew Perkins,9,5,18
Heather Hunter,36,9,34
Robert Franco,1,6,63
Jillian Tucker,14,5,25
Melissa Diaz,6,4,62
Sheila Stewart,23,7,47
Charles Fernandez,6,9,46
Sarah Lee,6,4,36
